City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Tervel,BG,43.75,27.4,42.01,91,99,5.01,overcast clouds
296,Campina Verde,BR,-19.5356,-49.4864,72.72,68,19,5.75,few clouds
297,Grand-Santi,GF,4.25,-54.3833,73.06,97,98,2.73,overcast clouds
298,Pangnirtung,CA,66.1451,-65.7125,24.08,80,85,3.49,overcast clouds
299,Kemijarvi,FI,66.7131,27.4306,16.34,95,50,10.16,scattered clouds
300,Broken Hill,AU,-31.95,141.4333,66.2,63,40,19.57,scattered clouds
301,Olafsvik,IS,64.8945,-23.7142,33.6,84,50,14.81,scattered clouds
302,Hervey Bay,AU,-25.2986,152.8535,90.0,51,15,9.22,few clouds
303,Omboue,GA,-1.5746,9.2618,79.0,84,100,7.49,light rain
304,Awbari,LY,26.5921,12.7805,63.61,26,14,15.1,few clouds
305,Partizanskoye,RU,55.5006,94.39,18.52,93,97,6.51,overcast clouds
306,Griffith,US,41.5284,-87.4237,12.2,85,90,8.05,light snow
307,Yakima,US,46.4665,-120.6678,55.4,35,1,18.41,clear sky
308,Bredasdorp,ZA,-34.5322,20.0403,69.8,68,63,5.75,broken clouds
309,Urumqi,CN,43.801,87.6005,8.6,92,90,2.24,light snow
310,Araouane,ML,18.9048,-3.5265,72.3,25,100,18.12,overcast clouds
311,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.13,96,100,15.66,moderate rain
312,Sabang,ID,5.8933,95.3214,82.69,73,58,15.37,broken clouds
313,Severo-Kurilsk,RU,50.6789,156.125,22.59,93,99,15.46,overcast clouds
314,Ribeira Grande,PT,38.5167,-28.7,61.05,87,98,22.12,overcast clouds
315,Dezhou,CN,37.4486,116.2925,31.91,88,0,12.91,clear sky
316,Luena,AO,-11.7833,19.9167,63.3,97,100,5.53,overcast clouds
317,Maruoka,JP,36.1534,136.2703,39.2,87,40,5.75,scattered clouds
318,Nizwa,OM,22.9333,57.5333,50.5,63,0,2.08,clear sky
319,Shu,KZ,43.5983,73.7614,37.09,94,100,8.68,light rain
320,Bengkulu,ID,-3.8004,102.2655,76.84,74,100,4.21,overcast clouds
321,Leh,IN,34.1667,77.5833,4.8,50,0,1.57,clear sky
322,Pevek,RU,69.7008,170.3133,-6.47,87,49,5.55,scattered clouds
323,Qasigiannguit,GL,68.8193,-51.1922,23.0,46,16,29.93,light snow
324,Tuatapere,NZ,-46.1333,167.6833,71.08,47,0,3.24,clear sky
325,Lamu,KE,-2.2717,40.902,76.46,86,33,6.8,scattered clouds
