City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Porto Belo,BR,75.2,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
511,Katobu,ID,80.6,overcast clouds,-4.9408,122.5276,La Ode Husein
514,Port Macquarie,AU,82.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
515,Kiunga,PG,85.82,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
522,Pilar,BR,77.0,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
524,Antalaha,MG,75.02,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
528,Kabanjahe,ID,77.0,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
529,Cozumel,MX,82.4,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
530,Cairns,AU,87.01,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
532,Floriano,BR,77.49,overcast clouds,-6.7669,-43.0225,Hotel Maktub
542,Moron,AR,82.99,clear sky,-34.6534,-58.6198,Hotel Morón
544,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
545,Edea,CM,78.8,scattered clouds,3.8,10.1333,Micotel Hotel
546,Alice Springs,AU,80.6,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
548,Marsh Harbour,BS,75.2,clear sky,26.5412,-77.0636,Abaco Beach Resort
550,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
555,Contamana,PE,76.93,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
560,Kintampo,GH,79.99,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
569,Trinidad,BO,86.0,broken clouds,-14.8333,-64.9,Hotel Piesta
573,Lorengau,PG,85.32,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
575,Acarau,BR,78.57,scattered clouds,-2.8856,-40.12,castelo pizzaria
